name,modules,em_type,epsilon_r,conductivity,mu_r,loss_tan,thermal_rho,thermal_cp,thermal_kappa,elastic_rho
AI2O3,"Thermal,Ela,EM",Normal,1,0,1,,3989,763.92,34.2,3989
Air,"Thermal,Ela,EM",Normal,1,0,1,,1.29,1030,0.026,1.29
AlN,"EM,Piezo,Thermal,Ela",Normal,8.5,0,1,,3239.9,726.94,294.12,3239.9
Alumina 92pct,"Thermal,Ela,EM",Normal,9.2,0,1,0.008,3600,760,25,3600
Alumina 96pct,"Thermal,Ela,EM",Normal,9.4,0,1,0.006,3900,760,30,3900
Aluminum,"Thermal,Ela,EM",Normal,1,3.8e7,1,,2700,900,205,2700
Arlon 25FR,"Thermal,Ela,EM",Normal,3.58,0,1,0.0035,1800,1030,0.026,1800
Arlon 25N,"Thermal,Ela,EM",Normal,3.580000,0,1,0.0025,1700,1030,0.026,1700
Arlon AD250A,"Thermal,Ela,EM",Normal,2.5,0,1,0.0015,2400,1030,0.026,2400
Arlon AD255A,"Thermal,Ela,EM",Normal,2.55,0,1,0.0015,2550,1030,0.026,2550
Arlon AD1000,"Thermal,Ela,EM",Normal,10.2,0,1,0.0023,3200,1030,0.026,3200
Bakelite,"Thermal,Ela,EM",Normal,4.8,1e9,1,0.002,1318,1030,0.026,1318
BeO,"EM,Piezo,Thermal,Ela",Normal,6.7,0,1,,2860,1039.5,278.47,2860
Beryllium,"Thermal,Ela,EM",Normal,1,2.5e7,1,,1850,1794.6,200,1850
Brass,"Thermal,Ela,EM",Normal,1,1.5e7,1,,8600,162,111,8600
Bronze,"Thermal,Ela,EM",Normal,1,1e7,1,,8890,420,64,8890
Cast iron,"Thermal,Ela,EM",Normal,1,2.01e6,1,,6999.29,458.258,38.47,6999.29
Chromium,"Thermal,Ela,EM",Normal,1,7.6e6,1,,7180,421,94,7180
Cobalt,"Thermal,Ela,EM",Normal,1,1e7,250,,8862,421,100,8862
Conformal coat,"Thermal,Ela,EM",Normal,3.1,0,1,0.35,1570,1030,0.026,1570
Copper,"Thermal,Ela,EM",Normal,1,5.8e7,1,,8933,385,400,8933
Corning glass,"Thermal,Ela,EM",Normal,5.75,0,1,,2230,800,1.2,2230
Cyanate ester,"Ela,EM",Normal,3.8,0,1,,1200,1030,0.026,1200
Diamond,"Thermal,Ela,EM",Normal,5.5,0,1,,3510,472,1500,3510
Duroid,"Thermal,Ela,EM",Normal,2.2,0,1,0.0009,2200,1000,0.25,2200
FR-4,"Thermal,Ela,EM",Normal,4.4,0,1,0.02,1250,1030,0.026,1250
Ferrite,"Thermal,Ela,EM",Normal,12,0.01,1000,,4600,750,4,4600
GaN,"Thermal,Ela,EM",Normal,8.9,0,1,0.005,6150,490,130,6150
Gallium arsenide,"Thermal,Ela,EM",Normal,12,0,1,,5316,550,33,5316
Glass,"Thermal,Ela,EM",Normal,5.5,0,1,,2500,1030,0.026,2500
Gold,"Thermal,Ela,EM",Normal,1,4.1e7,1,,19300,129,317,19300
Iron,"Thermal,Ela,EM",Normal,1,1.09e7,4000,,7855,446,80.5,7855
Isola FR408,"Thermal,Ela,EM",Normal,3.66,0,1,0.012,1850,1030,0.026,1850
Lead,"Thermal,Ela,EM",Normal,1,5e6,1,,11336,127.2,35.4,11336
Lithium niobate,"EM,Piezo,Thermal,Ela",Normal,43.6,0,1,2e-4,4700,650,0.026,4700
Marble,"Thermal,Ela,EM",Normal,8.3,0,1,,2687,1030,0.026,2687
Megtron2 R1577,"Thermal,EM",Normal,4.1,0,1,0.001,1800,1030,0.026,1800
Mica,"Thermal,Ela,EM",Normal,5.7,0,1,,2500,1030,0.026,2500
Nelco N4000-13,"Thermal,Ela,EM",Normal,3.5,0,1,0.012,1790,1030,0.026,1790
Nickel,"Thermal,Ela,EM",Normal,1,1.45e7,600,,8900,458,91.6,8900
PEC,"Thermal,Ela,EM",PEC,1,1e30,1,,1180,1030,0.026,1180
PVC plastic,"Thermal,Ela,EM",Normal,2.7,0,1,0.007,1400,1030,0.026,1400
Palladium,"Thermal,Ela,EM",Normal,1,9.3e6,1,,11998,242.6,71.4,11998
Platinum,"Thermal,Ela,EM",Normal,1,9.3e6,1,,21388,132.5,71.46,21388
Plexiglass,"Thermal,Ela,EM",Normal,3.4,0,1,0.001,1180,1400,0.26,1180
Polyamide,"Thermal,Ela,EM",Normal,4.3,0,1,0.004,1140,1030,0.026,1140
Polystyrene,"Thermal,Ela,EM",Normal,2.6,1e-16,1,,1000,1192,0.14,1000
Porcelain,"Thermal,Ela,EM",Normal,5.7,0,1,,2300,750,4,2300
Quartz glass,"Thermal,Ela,EM",Normal,3.75,0,1,,2200,730,1.4,2200
Rhodium,"Thermal,Ela,EM",Normal,1,2.22e7,1,,12400,234.4,150.7,12400
Rogers RO3003,"Thermal,Ela,EM",Normal,3,0,1,0.0013,2100,900,0.5,2100
Rogers RO4003,"Thermal,Ela,EM",Normal,3.55,0,1,0.0027,1800,1030,0.026,1800
Rogers RT5870,"Thermal,Ela,EM",Normal,2.33,0,1,0.0012,2200,1000,0.25,2200
Rogers RT5880,"Thermal,Ela,EM",Normal,2.2,0,1,0.0023,2200,1000,0.2,2200
Rogers TMM10,"Thermal,Ela,EM",Normal,9.2,0,1,0.0022,2800,800,0.76,2800
Rogers Ultralam1250,"Thermal,Ela,EM",Normal,2.5,0,1,0.0015,1400,1030,0.026,1400
Rubber,"Thermal,Ela,EM",Normal,2.336,3.15e-15,1,0.004,1100,1900,0.5,1100
Sapphire,"Thermal,Ela,EM",Normal,9.3,0,1,,3980,1030,0.026,3980
Sheldahl ComClad HF,"Thermal,Ela,EM",Normal,2.6,0,1,0.0033,1400,1030,0.026,1400
SiO2-Silicon oxide,"Thermal,Ela,EM",Normal,4.2,0,1,,2200,730,1.4,2200
Silicon,"Thermal,Ela,EM",Normal,11.9,0,1,,2329,700,130,2329
Silver,"Thermal,Ela,EM",Normal,1,6.1e7,1,,10499,235,429,10499
Si（Polycrystalline Silicon）,"Thermal,Ela,EM",Normal,11.8,0,1,,2330,710,150,2330
Solder,"Thermal,Ela,EM",Normal,1,7e6,1,,8400,1030,0.026,8400
SolderMask,"Thermal,Ela,EM",Normal,3.1,0,1,0.035,1300,1030,0.026,1300
Steel stainless,"Thermal,Ela,EM",Normal,1,1100000,1,,7930,500,16,7930
Taconic RF-30,"Thermal,Ela,EM",Normal,3,0,1,0.0014,2260,1030,0.026,2260
